ori,des,path,len
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
355,306,355_19_24_349_313_79_81_117_301_382_275_273_372_306,614
345,203,345_169_369_168_374_155_163_258_162_415_413_250_410_412_186_223_214_297_203,1315
390,325,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2144
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,2160
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1804
347,204,347_83_77_75_310_236_376_231_198_197_291_299_204,788
288,392,288_213_294_195_180_315_185_179_418_251_164_174_159_167_166_392,1055
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
135,179,135_320_131_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,1421
65,306,65_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,988
30,392,30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1360
345,88,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_88,2086
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1281
211,325,211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1206
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1500
345,40,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40,1590
345,239,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239,1452
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
345,271,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_277_271,2267
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
324,239,324_326_280_397_385_91_85_314_347_83_78_49_364_46_43_38_36_249_13_16_239,1290
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
324,240,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,1319
344,242,344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1551
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
395,80,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80,771
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
324,240,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_240,1319
169,23,169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23,1771
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1612
236,391,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1206
324,334,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_252_334,1821
15,116,15_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116,864
367,392,367_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_392,1656
390,4,390_342_370_402_4,238
345,241,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1516
385,150,385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_150,1567
55,179,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179,1378
324,222,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_222,1410
331,392,331_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1804
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_276_267_265_262_261_260,1337
149,23,149_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23,1357
400,325,400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1181
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1805
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,1073
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
395,349,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349,630
186,391,186_223_213_294_195_180_315_185_179_418_251_164_174_159_167_166_391,1029
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
345,240,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1552
236,392,236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1281
324,153,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_153,1925
149,325,149_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1728
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1535
345,240,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_240,1552
310,392,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1360
345,356,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356,1575
55,392,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1920
324,294,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_181_223_213_294,1479
390,51,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_356_35_338_361_353_51,1788
390,34,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34,1328
231,246,231_198_196_195_180_315_184_183_177_189_190_211_202_235_246,1156
52,222,52_360_0_366_351_248_30_236_376_231_198_196_195_181_222,1034
345,246,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246,1283
55,391,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1845
324,185,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185,1385
395,24,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24,592
198,392,198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,1057
310,391,310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,1286
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
390,241,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241,1500
367,162,367_400_287_200_208_145_146_148_227_151_152_153_155_163_258_162,1483
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,1596
413,240,413_250_410_411_184_183_177_189_190_211_202_235_245_239_240,1335
324,242,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_378_381_352_1_127_408_70_56_9_11_421_241_242,1380
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,2052
400,325,400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,1181
