u,v,,,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width,ref,access
97788471,358465410,97788471358465410,#N/A,0,222941079,TRUE,2,3ης Σεπτεμβρίου,secondary,FALSE,85.994,"LINESTRING (23.7298367 37.9915157, 23.72992 37.9918483, 23.730014 37.9922229, 23.7300176 37.9922375, 23.7300269 37.9922744)",,,,
97788477,97788471,9778847797788471,#N/A,0,10971763,TRUE,2,Ιουλιανού,secondary,FALSE,115.39399999999999,"LINESTRING (23.7311278 37.9913117, 23.7309901 37.9913335, 23.7302484 37.9914507, 23.7299657 37.9914953, 23.7299105 37.9915041, 23.7298367 37.9915157)",,,,
97788477,97788216,9778847797788216,#N/A,0,259806440,TRUE,2,Πατησίων,primary,FALSE,153.262,"LINESTRING (23.7311278 37.9913117, 23.7310888 37.9911537, 23.731043 37.9909682, 23.7309601 37.990633, 23.7308424 37.9901568, 23.7307935 37.9899588)",,,ΕΟ1,
97788586,6356544246,977885866356544246,#N/A,0,10971767,TRUE,,Κάνιγγος,residential,FALSE,60.25,"LINESTRING (23.7311561 37.9874088, 23.7311472 37.987374, 23.7311448 37.9873648, 23.7310243 37.986877)",,7,,
97788586,97788195,9778858697788195,#N/A,0,741721487,TRUE,1,Στουρνάρη,tertiary,FALSE,81.75699999999999,"LINESTRING (23.7311561 37.9874088, 23.7310173 37.9874297, 23.7303797 37.9875257, 23.7303747 37.9875265, 23.7302398 37.9875469)",,9,,
97788594,516020524,97788594516020524,#N/A,0,10971766,TRUE,2,Καποδιστρίου,secondary,FALSE,79.96799999999999,"LINESTRING (23.7308878 37.9863256, 23.7308245 37.9863357, 23.7300813 37.9864511, 23.7300436 37.9864554, 23.7299917 37.9864606)",,,,
97788594,3731648988,977885943731648988,#N/A,0,10971767,TRUE,,Κάνιγγος,residential,FALSE,58.457,"LINESTRING (23.7308878 37.9863256, 23.7308069 37.9859568, 23.7307876 37.9858922, 23.7307639 37.9858092)",,7,,
97788686,663798587,97788686663798587,#N/A,0,299257516,TRUE,,Τζωρτζ,residential,FALSE,55.179,"LINESTRING (23.7317478 37.9861764, 23.7316134 37.9856916)",,,,
97788686,97788594,9778868697788594,#N/A,0,10971766,TRUE,2,Καποδιστρίου,secondary,FALSE,77.17399999999999,"LINESTRING (23.7317478 37.9861764, 23.7309372 37.986317, 23.7308878 37.9863256)",,,,
97788769,97788848,9778876997788848,#N/A,0,601294007,TRUE,,Δεληγιάννη,residential,FALSE,41.748999999999995,"LINESTRING (23.7342533 37.9893935, 23.7346388 37.989334, 23.7347208 37.9893213)",,,,
97788848,97797086,9778884897797086,#N/A,0,10971776,TRUE,,Νοταρά,residential,FALSE,98.945,"LINESTRING (23.7347208 37.9893213, 23.7349494 37.9901927)",,6,,
97788848,97788855,9778884897788855,#N/A,0,601294007,TRUE,,Δεληγιάννη,residential,FALSE,41.265,"LINESTRING (23.7347208 37.9893213, 23.7351217 37.9892594, 23.7351829 37.98925)",,,,
