u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
200799162,200799166,Kingsholme Street,residential,False,88.215,,,,,50.0,,,,,292
200799162,200799161,Kingsholme Street,residential,False,27.063,,,,,50.0,,,,,293
200799162,201287031,Tilbrook Street,residential,False,70.812,,,,,,,,,,294
200799166,200799170,Kingsholme Street,residential,False,53.138,,,,,50.0,,,,,295
200799166,200799162,Kingsholme Street,residential,False,88.215,,,,,50.0,,,,,296
200799166,201287031,Hastings Street,residential,False,71.51,,,,,,,,,,297
200799170,200799171,Kingsholme Street,residential,False,31.13,,,,,50.0,,,,,298
200799170,200799166,Kingsholme Street,residential,False,53.138,,,,,50.0,,,,,299
200799170,26336340,Browne Street,residential,False,97.684,,,,,,,,,,300
200799171,201283573,Kingsholme Street,residential,False,66.105,,,,,50.0,,,,,301
200799171,200799170,Kingsholme Street,residential,False,31.13,,,,,50.0,,,,,302
200799171,203237971,Kingsholme Street,residential,False,61.368,,,,,,,,,,303
200802216,200798028,,tertiary,True,11.564,,,,roundabout,,,,,,304
200802216,100950120,Browne Street,residential,False,113.138,,,,,,,,,,305
201214373,200762420,Ellis Street,residential,False,73.603,,,,,,,,,,306
201214373,201273130,Ellis Street,residential,False,21.58,,,,,,,,,,307
201214373,6654284506,Ellis Street,residential,False,43.62499999999999,,,,,,,,,,308
201273130,201214373,Ellis Street,residential,False,21.58,,,,,,,,,,309
201283568,26336349,Kingsholme Street,residential,True,79.90899999999999,,,,,50.0,,,,,310
201283569,201283568,Kingsholme Street,residential,True,17.958,,,,,,,,,,311
201283569,200798413,Annie Street,residential,True,17.759999999999998,,,,,,,,,,312
201283573,200799171,Kingsholme Street,residential,False,66.105,,,,,50.0,,,,,313
201283573,201283569,Kingsholme Street,residential,True,22.096,,,,,,,,,,314
201283573,201287031,"['Crase Street', 'Hastings Street']",residential,False,328.40500000000003,,,,,,,,,,315
201287031,200799162,Tilbrook Street,residential,False,70.81200000000001,,,,,,,,,,316
201287031,201283573,"['Crase Street', 'Hastings Street']",residential,False,328.405,,,,,,,,,,317
201287031,200799166,Hastings Street,residential,False,71.51,,,,,,,,,,318
201289579,203237869,Beeston Street,residential,False,36.234,,,,,,,,,,319
201289579,203237869,,residential,False,51.821000000000005,,,,,,,,,,320
201289579,170856232,Beeston Street,residential,False,277.85200000000003,,,,,,,,,,321
201294786,26336349,Beeston Street,residential,False,4.791,,,,,,,,,,322
201294786,201283573,Kingsholme Street,residential,True,126.378,,,,,50.0,,,,,323
201294786,203237869,Beeston Street,residential,False,78.25999999999999,,,,,,,,,,324
201313805,201313808,Hastings Street,residential,False,43.786,,,,,,,,,,325
201313808,201313805,Hastings Street,residential,False,43.786,,,,,,,,,,326
201313808,170856232,Macquarie Street,tertiary,False,203.187,,,,,50.0,,,,,327
201313808,170856227,Macquarie Street,tertiary,False,157.172,,,,,50.0,,,,,328
203237869,201289579,Beeston Street,residential,False,36.234,,,,,,,,,,329
203237869,201289579,,residential,False,51.821,,,,,,,,,,330
203237869,201294786,Beeston Street,residential,False,78.25999999999999,,,,,,,,,,331
203237971,200799171,Kingsholme Street,residential,False,61.368,,,,,,,,,,332
228462766,2358200533,Browne Street,residential,False,127.747,,,,,,,,,,333
228462766,100950120,Browne Street,residential,False,161.086,,,,,,,,,,334
228462766,228464712,Wynberg Lane,residential,False,163.88299999999998,,,,,,,,,,335
228463674,2358200533,Beattie Lane,residential,False,42.421,,,,,,,,,,336
228464712,228462766,Wynberg Lane,residential,False,163.883,,,,,,,,,,337
303071803,303071806,Lloyd Street,residential,False,56.483,,,,,,,,,,338
303071806,26336315,Terrace Street,residential,False,64.581,,,,,,,,,,339
303071806,303071989,Terrace Street,residential,False,115.223,,,,,,,,,,340
303071806,303071803,Lloyd Street,residential,False,56.483,,,,,,,,,,341
303071806,303071807,Lime Street,residential,False,57.948,,,,,,,,,,342
303071807,303071806,Lime Street,residential,False,57.948,,,,,,,,,,343
303071808,303071989,,residential,False,54.687000000000005,,,,,,,,,,344
303071936,100950212,Cross Street,residential,False,82.292,,,,,,,,,,345
303071936,303071943,Gertrude Street,residential,False,86.316,,,,,,,,,,346
303071936,100950217,Cross Street,residential,False,43.824,,,,,,,,,,347
303071943,100950204,Merthyr Road,tertiary,False,45.719,,,,,50.0,,,,,348
303071943,303071936,Gertrude Street,residential,False,86.316,,,,,,,,,,349
303071943,100950209,Merthyr Road,tertiary,False,82.393,,,,,50.0,,,,,350
303071985,26336340,Browne Street,residential,False,93.313,,,,,,,,,,351
303071985,200798029,,tertiary,True,12.655,,,,roundabout,,,,,,352
303071989,303071806,Terrace Street,residential,False,115.223,,,,,,,,,,353
303071989,26336292,Terrace Street,residential,False,53.163,,,,,,,,,,354
303071989,303071808,,residential,False,54.687,,,,,,,,,,355
303299369,499943083,Langshaw Street,residential,False,102.735,,,,,50.0,,,,,356
303299369,100928202,Langshaw Street,residential,False,73.646,,,,,50.0,,,,,357
303299369,303299809,Gilbey Lane,residential,False,60.722,,,,,,,,,,358
303299545,303299809,Gilbey Lane,residential,False,55.57,,,,,,,,,,359
303299545,499943068,Gilbey Lane,residential,False,75.277,,,,,,,,,,360
